KG075,KİMYASAL,solvent barrel artık,karma
KG076,KİMYASAL,oil filter posası,karma
KG077,KİMYASAL,kimyasal çamur atıgı,yazim_hatali
KG078,KİMYASAL,asidik cozelti fire,yazim_hatali
KG079,KİMYASAL,kimyasal atık,genel
KG080,KİMYASAL,tehlikeli sıvı,genel
KG081,TEKSTİL,pamuk kumaş fire,kisa
KG082,TEKSTİL,polyester iplik atığı,kisa
KG083,TEKSTİL,yün keçe artık,kisa
KG084,TEKSTİL,konfeksiyon kumaş kırpıntı,kisa
KG085,TEKSTİL,halı tüyü tozu,kisa
KG086,TEKSTİL,keten kumaş artık,kisa
KG087,TEKSTİL,viskon bez parçası,kisa
KG088,TEKSTİL,naylon çuval atığı,kisa
KG089,TEKSTİL,PP dokuma fire,kisaltma
KG090,TEKSTİL,PET keçe artık,kisaltma
KG091,TEKSTİL,PA iplik bobini,kisaltma
KG092,TEKSTİL,PE örtü atığı,kisaltma
KG093,TEKSTİL,textile scrap kumaş,karma
KG094,TEKSTİL,cotton waste fire,karma
KG095,TEKSTİL,fabric atık parça,karma
KG096,TEKSTİL,polyester yarn döküntü,karma
KG097,TEKSTİL,tekstıl kumas fire,yazim_hatali
KG098,TEKSTİL,pamuk atıgı yün,yazim_hatali
KG099,TEKSTİL,tekstil atık,genel
KG100,TEKSTİL,kumaş hurda,genel
KG101,CAM,cam şişe kırığı,kisa
KG102,CAM,düz cam fire parça,kisa
KG103,CAM,renkli cam atığı,kisa
KG104,CAM,otel cam bardak,kisa
KG105,CAM,cam yünü atığı,kisa
KG106,CAM,ayna camı kırığı,kisa
KG107,CAM,otomat cam artığı,kisa
KG108,CAM,cam boru parçası,kisa
KG109,CAM,float cam fire,kisaltma
KG110,CAM,OSB cam elyaf,kisaltma
KG111,CAM,PC cam atık parça,kisaltma
KG112,CAM,PET cam fire artık,kisaltma
KG113,CAM,glass bottle kırığı,karma
KG114,CAM,plate cam scrap,karma
KG115,CAM,window glass fire,karma
KG116,CAM,mirror glass atık,karma
KG117,CAM,cam kırıgı silis,yazim_hatali
KG118,CAM,cam yünü atıgı,yazim_hatali
KG119,CAM,cam atık,genel
KG120,CAM,cam hurda,genel
KG121,KAĞIT,karton koli fire,kisa
KG122,KAĞIT,ofis kağıdı atığı,kisa
KG123,KAĞIT,gazete kağıdı artık,kisa
KG124,KAĞIT,oluklu mukavva,kisa
KG125,KAĞIT,ambalaj kağıdı parça,kisa
KG126,KAĞIT,kuşe kağıt fire,kisa
KG127,KAĞIT,kraft kağıt rulo,kisa
KG128,KAĞIT,kopya kağıdı atık,kisa
KG129,KAĞIT,OSB talaş karışım,kisaltma
KG130,KAĞIT,PE kaplı kağıt fire,kisaltma
KG131,KAĞIT,PP dokuma kağıt,kisaltma
KG132,KAĞIT,DKP kağıt bobin,kisaltma
KG133,KAĞIT,paper scrap karton,karma
KG134,KAĞIT,cardboard fire atık,karma
KG135,KAĞIT,kraft box fire,karma
KG136,KAĞIT,office paper scrap,karma
KG137,KAĞIT,kagit karton hurda,yazim_hatali
KG138,KAĞIT,oluklu mukavva fire,yazim_hatali
KG139,KAĞIT,kağıt atık,genel
KG140,KAĞIT,karton hurda,genel
id,kategori,cikti_tanim,girdi_tanim,etiket,neden
IN001,METAL,"304 paslanmaz çelik CNC talaşı","Bakır rafinasyon tesisi granül girdisi",0,"Farklı metal ailesi: demir bazlı paslanmaz çelik ile bakır bazlı malzeme arasında metalurjik uyumsuzluk, eritme sıcaklıkları ve alaşım davranışları farklı"
IN002,METAL,"DKP sac zımba fire (kalın sac)","Alüminyum profil ince talaş",0,"Farklı form ve yoğunluk: haddelenmiş çelik sac artığı ile alüminyum talaş, ergitme fırını beslemesinde aynı potada çözünmezlik problemi"
IN003,METAL,"Galvanizli çinko kaplama atığı (çinko dross)","HRP sıcak haddelenmiş çelik levha",0,"Ağır kontaminasyon: çinko kaplama atığı yüksek oranda oksit içerir, sıcak haddelenmiş temiz çelik ile karıştırıldığında kalite bozulması"
IN004,METAL,"Titanyum torna talaşı","DKP sac kalıp zımbası artığı",0,"Alaşım uyumsuzluğu: titanyum reaktif metaldir, demir bazlı malzeme ile eritildiğinde gevrek intermetalik bileşikler oluşur"
IN005,METAL,"Kontamine bakır kablo hurda (PVC kaplı)","Paslanmaz 316 şerit fire (temiz)",0,"Kontamine vs temiz: PVC kaplı bakır, temiz paslanmaz çelik ile aynı geri dönüşüm hattında işlenemez, organik kalıntı kül fırınını kirletir"
IN006,PLASTİK,"PVC profil pencere atığı (sert PVC)","PET şişe kırığı (şeffaf)",0,"Farklı polimer ailesi: PVC (klorlu) ile PET (polyester) geri dönüşüm sıcaklıkları ve kimyasal dirençleri farklı, PVC PET'i degrade eder"
IN007,PLASTİK,"ABS enjeksiyon fire (termoplastik)","Bakalit kalıp artığı (termoset)",0,"Termoset vs termoplastik: ABS tekrar eritilebilir, bakalit çapraz bağlıdır ve ısıyla yeniden şekillendirilemez, aynı ekstrüderde işlenemez"
IN008,PLASTİK,"LDPE film ambalaj atığı (gıda temaslı)","HDPE kimyasal bidon atığı (endüstriyel)",0,"Gıda temaslı vs endüstriyel: LDPE temiz gıda sınıfı, HDPE kimyasal kaplıdır, karışım toksik kontaminasyon riski oluşturur"
IN009,PLASTİK,"PP granül doğal (katkısız)","ABS PC karışım elektronik fire (katkılı)",0,"Katkılı vs saf: saf PP doğal renkte, ABS/PC karışımı alev geciktirici ve boyalı içerir, geri dönüşümde renk ve mekanik uyumsuzluk"
IN010,PLASTİK,"PEX (çapraz bağlı PE) boru parçası","HDPE (lineer) kırığı",0,"Cross-linked vs linear: PEX çapraz bağlı yapısı nedeniyle HDPE gibi erimez, aynı granülasyon ve ekstrüzyon prosesine uygun değil"
IN011,ORGANİK,"Mutfak yemek artığı (ıslak, organik)","OSB ahşap talaşı (kuru) ",0,"Gıda vs ahşap: yemek artığı yüksek nemli ve biyolojik olarak aktiftir, ahşap talaşı kuru lignoselülozik malzemedir, kompost prosesleri farklı"
IN012,ORGANİK,"Tavuk kemik unu (hayvansal)","Sebze posası (bitkisel)",0,"Hayvansal vs bitkisel: kemik unu hayvansal protein ve mineral içerir, sebze posası selüloz ağırlıklıdır, kompost hızları ve vermikompost uyumu farklı"
IN013,ORGANİK,"Mantar zehirli atığı (tehlikeli organik)","Elma kabuğu kompostu (tehlikesiz)",0,"Tehlikeli vs tehlikesiz: zehirli mantar atığı toksin içerir, elma kabuğu güvenli kompost malzemesidir, aynı havuzda işlenmez"
IN014,ORGANİK,"Islak kahve telvesi (nem %70)","Kuru çay posası (nem %10)",0,"Islak vs kuru: kahve telvesi yüksek nem ve asidik, kuru çay posası düşük nem, kompostlama pH ve havalandırma gereksinimleri uyumsuz"
IN015,ORGANİK,"Muz kabuğu (kompostlanabilir)","Parafin kaplı ahşap palet (yakılabilir)",0,"Kompostlanabilir vs yakılabilir: muz kabuğu tamamen biyobozunur, parafin kaplı ahşap petrokimyasal içerir ve yakma tesisine yönlendirilir"
IN016,KİMYASAL,"Sülfürik asit çözeltisi (pH<1)","Sodyum hidroksit çözeltisi (pH>13)",0,"Asidik vs bazik: sülfürik asit ile sodyum hidroksit nötralizasyon tepkimesi verir, ekzotermik reaksiyonla tehlikeli kıvılcım ve sıçrama oluşur"
IN017,KİMYASAL,"Aseton çözücü (organik, uçucu)","Sodyum klorür tuzu (inorganik)",0,"Organik solvent vs inorganik tuz: aseton yanıcı organik çözücü, sodyum klorür inorganik katı tuz, atık su arıtma prosesleri tamamen farklı"
IN018,KİMYASAL,"Benzin atığı (yanıcı, parlama noktası -43°C)","Sulu boya atığı (sulu, yanıcı değil)",0,"Yanıcı vs yanıcı olmayan: benzin alev alabilir, sulu boya su bazlıdır, aynı depolama ve taşıma standartlarına uymaz"
IN019,KİMYASAL,"Siyanür içeren atık (toksik)","Tuz ruhu seyreltik (düşük toksik)",0,"Toksik vs toksik olmayan: siyanür ölümcül toksin, seyreltik tuz ruhu hafif asidiktir, atık kodları (EWC) ve bertaraf yöntemleri farklı"
IN020,KİMYASAL,"Endüstriyel yağ çamuru (sıvı viskoz)","Kurşun asit batarya katı çamuru",0,"Sıvı vs katı: yağ çamuru akışkan organik atık, batarya çamuru kurşun-sülfat katıdır, farklı stabilizasyon ve katılaştırma prosesleri"
IN021,TEKSTİL,"Pamuk kumaş kırpıntısı (doğal lif)","Polyester dokuma atığı (sentetik)",0,"Doğal lif vs sentetik lif: pamuk selüloz bazlı, polyester petrol bazlı, aynı geri dönüşüm hattında birlikte işlenemez (sıcaklık ve yıkama uyumsuz)"
IN022,TEKSTİL,"Koyu mavi boyalı denim kırpıntı","Beyaz dokusuz kumaş (boyasız)",0,"Boyalı vs boyasız: boyalı denim'de azo boyalar ve mordan maddeleri var, boyasız kumaş temiz selüloz, geri dönüşümde renk ayrımı gerekir"
IN023,TEKSTİL,"Triko örme atığı (yuvarlak örme)","Bez dokuma atığı (düz dokuma)",0,"Örme vs dokuma: örme kumaş elastik ve gevşek yapılı, dokuma kumaş sıkı ve dimensional olarak farklı, aynı parçalama makinesinde sorun çıkarır"
IN024,TEKSTİL,"Makine yağı bulaşık bez artığı (kontamine)","Buharla sterilize edilmiş tıbbi örtü (temiz)",0,"Kontamine vs temiz: yağlı bez ağır metal ve hidrokarbon içerir, steril örtü termal olarak temizlenmiştir, farklı dezenfeksiyon ve proses gereksinimi"
IN025,TEKSTİL,"%100 yün atığı (tek lif)","Pamuk/polyester karışım kumaş (%50/50)",0,"Tek lif vs karışım: saf yün proteindir, pamuk/polyester karışımı selüloz+sentetik, kimyasal geri kazanımda çözücü uyumsuzluğu ve lif ayrımı zor"
IN026,CAM,"Soda-kireç cam şişe kırığı","Borosilikat laboratuvar camı parçası",0,"Soda-kireç vs borosilikat: soda-kireç cam düşük ısıl dayanıklı, borosilikat yüksek bor oksit içerir, eritme sıcaklıkları ve katsayıları farklı"
IN027,CAM,"Temperli araç yan cam kırığı","Float düz cam fire",0,"Temperli vs float: temperli cam gerilimli ve küçük küpler halinde kırılır, float cam gerilimsizdir, aynı kırma ve öğütme ekipmanına uyumsuz"
IN028,CAM,"Renkli yeşil cam şişe atığı","Şeffaf cam bardak kırığı",0,"Renkli vs şeffaf: yeşil cam demir oksit renklendirici içerir, şeffaf cam renksizdir, cam eritme fırını renk homojenliğini bozar"
IN029,CAM,"Cam elyaf keçe atığı (lifli)","Düz cam levha fire",0,"Cam elyaf vs düz cam: cam elyafı yüksek oranda bağlayıcı ve organik apre içerir, düz cam saf silikattır, aynı fırın yükü olamaz"
IN030,CAM,"Low-E kaplamalı cam parçası (metal oksit kaplı)","Kaplamasız float cam atığı",0,"Kaplamalı vs kaplamasız: Low-E cam yüzeyi gümüş ve oksit katmanlıdır, kaplamasız camda bu alaşım kirletici olur, geri dönüşüm kalitesi düşer"
IN031,KAĞIT,"Kraft koli kartonu (doğal kahve renk)","Kuşe kağıt fire (parlak beyaz)",0,"Kraft vs kuşe: kraft uzun lifli hamur ve kaba yüzeyli, kuşe kağıt dolgu ve kaplama maddesi içerir, aynı hamur havuzunda lif uyumsuzluğu"
IN032,KAĞIT,"PE lamine karton (süt kutusu)","Saf selüloz ofis kağıdı",0,"Kaplamalı vs kaplamasız: lamine karton polietilen filmin varlığı selüloz hamuruna karışınca kaliteyi düşürür, saf ofis kağıdı temiz selülozdur"
IN033,KAĞIT,"Beyaz ofis kağıdı (birinci hamur)","Gri karton atığı (ikinci hamur)",0,"Birinci hamur vs ikinci hamur: birinci hamur uzun lifli, mukavemetli; ikinci hamur kısa lifli ve dolgu maddesi yüksek, mukavemet değerleri farklı"
IN034,KAĞIT,"Plastik kaplı katalog baskı kağıdı","Mukavva kutu (saf kağıt hamuru)",0,"Lamine vs saf selüloz: plastik kaplama geri dönüşümde süzme problemidir, saf mukavva doğrudan hidropulper'e alınabilir"
IN035,KAĞIT,"Renkli baskılı dergi kağıdı (mürekkepli)","Kraft koli iç astarı (baskısız)",0,"Baskılı vs baskısız: renkli dergi mürekkep ve kimyasal içerir, baskısız kraft astarı temizdir, dekontaminasyon prosesleri ayrı"
id,kategori,cikti_sektor,cikti_tanim,girdi_sektor,girdi_tanim,etiket,uzunluk
PP001,METAL,Otomotiv pres,"DKP sac zımba fire",Çelik dökümhane,"indüksiyon ocağı ferrous şarj",1,orta
PP002,METAL,Kablo geri dönüşüm,"bakır granül",Rafinasyon tesisi,"elektroliz bakır anot girdisi",1,kisa
PP003,METAL,Talaş işleme,"demir-çelik torna talaşı",Demir-çelik tesisi,"ark ocağı metalik şarj",1,orta
PP004,METAL,Metal işleme,"alüminyum levha fire",Alüminyum döküm,"ikincil külçe üretim hammaddesi",1,kisa
PP005,METAL,Metalurji yan ürün,"çinko dross",Çinko rafineri,"oksit indirgeme girdisi",1,orta
PP006,PLASTİK,Şişe geri dönüşüm,"PET şişe kırığı",Plastik granül,"polimer eriyik besleme",1,kisa
PP007,PLASTİK,Ambalaj atık,"LDPE film artık",Plastik enjeksiyon,"ekstrüder hammadde",1,kisa
PP008,PLASTİK,Tarımsal atık,"zeytin posası",Enerji tesisi,"piroliz reaktör biyokütle",1,orta 
PP009,PLASTİK,Plastik hurda,"PP palet kırığı",Plastik geri dönüşüm,"granül üretim beslemesi",1,kisa
PP010,PLASTİK,Plastik atık,"HDPE kimyasal bidon",Piroliz tesisi,"piroliz yağı üretim girdisi",1,orta 
PP011,ORGANİK,Gıda işleme,"meyve-sebze kabuk posası",Biyogaz tesisi,"anaerobik fermentör besleme",1,orta
PP012,ORGANİK,Unlu mamul,"bayat ekmek kırıntısı",Yem sanayi,"hayvan yemi katkı",1,kisa
PP013,ORGANİK,Orman ürünleri,"ahşap talaşı ve tozu",Sunta fabrikası,"OSB levha selülozik dolgu",1,orta
PP014,ORGANİK,Tarımsal atık,"buğday samanı",Kompost tesisi,"olgunlaştırma karışımı",1,kisa
PP015,ORGANİK,Restoran atık,"yemek artığı (ıslak)",Biyometan tesisi,"biyogaz üretim substratı",1,orta
PP016,KİMYASAL,Geri kazanım,"atık yağ filtre posası",Rafineri,"bitüm modifikasyon girdisi",1,orta
PP017,KİMYASAL,Kaplama atık,"boyahane çamuru",Çimento fabrikası,"alternatif yakıt klinker",1,kisa
PP018,KİMYASAL,Maden işleme,"mermer işleme çamuru",Plastik piroliz,"katalitik piroliz mineral",1,orta 
PP019,KİMYASAL,Petrokimya,"çözücü distillation dip",İlaç tesisi,"reaksiyon ortamı",1,kisa
PP020,KİMYASAL,Galvaniz atık,"asit banyo çözeltisi",Arıtma tesisi,"nötralizasyon reaktifi",1,orta
PP021,TEKSTİL,Konfeksiyon,"pamuk kumaş kırpıntısı",Lif geri dönüşüm,"selüloz hamuru besleme",1,kisa 
PP022,TEKSTİL,İplik üretim,"polyester atık iplik",Geri kazanım,"eritme granül üretimi",1,kisa
PP023,TEKSTİL,Tekstil atık,"boyasız bez artığı",Kağıt fabrikası,"selüloz hamuru karışım",1,orta
PP024,TEKSTİL,Halı üretim,"naylon halı tüyü",Plastik kompozit,"takviye lif hammaddesi",1,kisa
PP025,TEKSTİL,Örme atık,"triko kumaş fire",Yeniden iplik,"open-end iplik üretim",1,orta
PP026,CAM,Cam şişe,"soda-kireç cam kırığı",Cam ambalaj,"fırın camcı girdisi",1,kisa
PP027,CAM,Otomotiv cam,"temperli cam parçası",Cam elyaf,"eritme fırın camcı",1,orta
PP028,CAM,Düz cam,"float cam fire",Ayna üreticisi,"cam yüzey hammadde",1,kisa
PP029,CAM,Arıtma atık,"cam elyaf keçe artık",Yalıtım üreticisi,"kompozit takviye",1,orta
PP030,CAM,Laboratuvar,"borosilikat cam parça",Cam geri dönüşüm,"özel cam eritme",1,kisa
PP031,KAĞIT,Koli üretim,"karton mukavva fire",Kraft kağıt,"hamur havuzu besleme",1,kisa
PP032,KAĞIT,Matbaa,"kuşe kağıt süprüntü",Geri dönüşüm,"deinking hamur girdisi",1,orta
PP033,KAĞIT,Ofis atık,"beyaz ofis kağıdı",Selüloz üretici,"ikinci hamur üretim",1,kisa
PP034,KAĞIT,Ambalaj,"oluklu mukavva fire",Karton üreticisi,"yeni karton astar hammadde",1,orta
PP035,KAĞIT,Etiket üretim,"kağıt etiket rulo fire",İnşaat malzeme,"yalıtım levha dolgu",1,kisa
id,tip,metin_1,metin_2,beklenen_benzerlik,aciklama
EC001,kontamine,"Yağlı çelik talaşı CNC","Temiz kuru çelik talaşı",yuksek,"Aynı malzeme, kontaminasyon farkı — kalite skorunda yakalanır"
EC002,kontamine,"PVC kaplı bakır kablo","Sıyrılmış temiz bakır kablo",yuksek,"Aynı bakır malzeme, PVC kontaminasyonu kalite skorunda ayrıştırılır"
EC003,kontamine,"Boyalı alüminyum profil fire","Eloksalsız temiz alüminyum profil",yuksek,"Alüminyum aynı, yüzey kontaminasyonu kalite parametresidir"
EC004,kontamine,"Vernikli bakır tel atığı","Sıyrılmış bakır tel",yuksek,"Bakır metal aynı, vernik kalıntısı alt proseste filtrelenir"
EC005,kontamine,"Mürekkepli kuşe kağıt","Baskısız kuşe kağıt fire",yuksek,"Kuşe kağıt aynı, mürekkep kontaminasyonu değerlendirme kriteri"
EC006,kontamine,"Gıda bulaşık LDPE ambalaj","Temiz LDPE film",yuksek,"Polimer aynı, organik kalıntı alt süreçte ayrılır"
EC007,kontamine,"Yağlı pamuk kumaş kırpıntısı","Temiz pamuk kırpıntısı",yuksek,"Lif aynı, yağ kontaminasyonu ikincil ayırım"
EC008,kontamine,"Klorlu içme suyu PET şişe","Temiz PET şişe kırığı",yuksek,"PET polimer aynı, klor kalıntısı dezenfeksiyon prosesine bırakılır"
EC009,form,"Polipropilen granül 3mm","Polipropilen palet kırığı 20cm",yuksek,"Aynı PP polimeri, farklı boyut ve form"
EC010,form,"ABS enjeksiyon pelet","ABS kalıp fire",yuksek,"Aynı ABS malzemesi, pelet vs döküm fire farklı form"
EC011,form,"Alüminyum toz 60μm","Alüminyum levha 1.2mm",yuksek,"Element aynı, toz vs levha fiziksel form farkı"
EC012,form,"Polietilen şeffaf film","Polietilen süt şişesi kırığı",yuksek,"PE polimeri aynı, film vs şişe farklı form"
EC013,form,"Çelik sac 2mm","Çelik talaşı tozu",yuksek,"Demir bazlı aynı, sac vs talaş form farkı"
EC014,form,"PET şişe kırığı 10mm","PET granül 4mm",yuksek,"Aynı PET, kırık vs granül form farkı"
EC015,form,"Paslanmaz çelik boru parçası","Paslanmaz çelik plaka fire",yuksek,"AISI 304 aynı alaşım, boru vs plaka farklı form"
EC016,form,"Cam levha 6mm","Cam kırığı tozu",yuksek,"Aynı cam bileşimi, levha vs kırık form farkı"
EC017,yazim,"alüminyum profil","aluminyum profıl",yuksek,"Alüminyum yazım varyasyonu, aynı malzeme"
EC018,yazim,"polietilen film","polietlen film",yuksek,"Polietilen yazım varyasyonu, aynı malzeme"
EC019,yazim,"paslanmaz çelik","paslanmas celik",yuksek,"Paslanmaz yazım hatası, aynı malzeme"
EC020,yazim,"polyethylene granül","polietilen granul",yuksek,"İngilizce-Türkçe varyasyon, aynı polimer"
EC021,yazim,"aluminium sac","aluminyum saç",yuksek,"İngilizce-Türkçe varyasyon, aynı malzeme"
EC022,yazim,"stainless steel scrap","paslanmaz hurda",yuksek,"İngilizce-Türkçe varyasyon, aynı malzeme"
EC023,yazim,"poliüretan köpük","polyurethane foam",yuksek,"Türkçe-İngilizce varyasyon, aynı malzeme"
EC024,yazim,"bakır sülfat","bakır sulfat",yuksek,"Kimyasal yazım varyasyonu, aynı bileşik"
EC025,genel_spesifik,"metal atık","304 paslanmaz çelik CNC talaşı",orta,"Genel metal kategorisi vs spesifik alaşım ve talaş formu"
EC026,genel_spesifik,"plastik atık","ABS antistatik enjeksiyon fire",orta,"Genel plastik vs spesifik polimer tipi ve katkı"
EC027,genel_spesifik,"kağıt atık","ofis fotokopi kağıdı kırpıntısı",orta,"Genel kağıt vs spesifik ofis kağıdı"
EC028,genel_spesifik,"kimyasal atık","sülfürik asit %98 çözelti",orta,"Genel kimyasal vs spesifik asit ve konsantrasyon"
EC029,genel_spesifik,"cam atık","borosilikat laboratuvar camı parçası",orta,"Genel cam vs spesifik ısıya dayanıklı laboratuvar camı"
EC030,genel_spesifik,"tekstil atık","%100 pamuk örme kumaş fire",orta,"Genel tekstil vs spesifik lif tipi ve kumaş yapısı"
EC031,genel_spesifik,"organik atık","kahve telvesi kompost",orta,"Genel organik vs spesifik kahve posası kompost malzemesi"
EC032,genel_spesifik,"ahşap atık","OSB talaş kırıntısı",orta,"Genel ahşap vs spesifik orman ürünü levha atığı"
EC033,yaniltici,"cam yünü izolasyon","koyun yünü tekstil",dusuk,"İkisinde de yünü var ama cam mineral vs hayvansal lif — farklı kategori"
EC034,yaniltici,"metal boya atığı","metal hurda",dusuk,"Metal kelimesi ortak ama kimyasal kaplama vs metal geri dönüşüm — farklı atık sınıfı"
EC035,yaniltici,"plastik kaplama atığı","plastik hurda parça",dusuk,"Plastik ortak ama yüzey kaplama proses atığı vs plastik malzeme hurdası"
EC036,yaniltici,"organik çözücü","organik gübre",dusuk,"Organik kelimesi ortak ama uçucu petrokimyasal vs tarımsal kompost — tamamen farklı"
EC037,yaniltici,"demir tozu","demir oksit curuf",dusuk,"Demir ortak ama metalik element vs oksitlenmiş cüruf — farklı faz"
EC038,yaniltici,"selüloz yalıtım","selüloz asetat",dusuk,"Selüloz ortak ama lifli yapı malzemesi vs kimyasal türev — farklı sektör"
EC039,yaniltici,"kurşun asit batarya","asit çözeltisi",dusuk,"Asit kelimesi ortak ama katı batarya atığı vs sıvı kimyasal atık"
EC040,yaniltici,"şeker kamışı atığı","şeker endüstri asidi",dusuk,"Şeker ortak ama tarımsal biyokütle vs gıda kimyasal atığı — farklı proses"
id,kategori,cikti_sektor,cikti_tanim,girdi_sektor,girdi_tanim,etiket,neden
M001,METAL,Otomotiv,"DKP sac pres fire","Çelik döküm","indüksiyon ocağı şarj hurdası",1,"Karbon çeliği hurdası ergitme girdisi olarak değerlendirilebilir"
M002,METAL,Kablo,"bakır granül","Rafinasyon","bakır ergitme ve rafinasyon beslemesi",1,"Yüksek bakır içeriği doğrudan metal geri kazanımına uygundur"
M003,METAL,Alüminyum döküm,"alüminyum döküm çapakları","Alüminyum ergitme","ikincil alüminyum alaşım üretim hammaddesi",1,"Alüminyum talaş ve çapaklar yeniden ergitilebilir"
M004,METAL,Demir çelik,"haddehane tufalı","Sinter tesisi","demir cevheri yerine sinter besleme malzemesi",1,"Yüksek demir oksit içeriği sinter üretiminde değerlendirilebilir"
M005,METAL,Alüminyum döküm,"Alüminyum dross","İkincil alüminyum","dross işleme sonrası metalik alüminyum üretim girdisi",1,"Dross içindeki metalik alüminyum geri kazanılabilir"
M006,METAL,Metal işleme,"paslanmaz çelik talaşı","Paslanmaz çelik üretimi","elektrik ark ocağı alaşımlı hurda şarjı",1,"Alaşımlı çelik talaşı uygun hazırlama sonrası ergitme girdisidir"
M007,METAL,Demir çelik,"elektrik ark ocağı curufu","Çimento","demir içeren mineral katkı malzemesi",1,"Uygun karakterizasyon sonrası mineral hammadde yerine kullanılabilir"
P001,PLASTİK,Şişe üretimi,"PET şişe kırığı","Polyester elyaf","geri dönüştürülmüş polyester üretim beslemesi",1,"PET temizlenip kırılarak polyester hammaddesine dönüştürülebilir"
P002,PLASTİK,Ambalaj,"LDPE film firesi","Plastik geri dönüşüm","granül PE üretim hattı beslemesi",1,"Aynı polimer ailesi mekanik geri dönüşüme uygundur"
P003,PLASTİK,Otomotiv,"PP enjeksiyon fireleri","Plastik parça üretimi","geri kazanılmış polipropilen granül girdisi",1,"PP üretim firesi yeniden granüle edilerek kullanılabilir"
P004,PLASTİK,Kablo,"PVC kablo kırpıntısı","PVC profil üretimi","plastikleştirici içeren geri kazanılmış PVC hammaddesi",1,"Uygun ayrıştırılmış PVC kırpıntıları profil üretiminde değerlendirilebilir"
P005,PLASTİK,Elektronik,"ABS parça fireleri","Elektrikli ekipman","geri dönüştürülmüş ABS granül üretim hammaddesi",1,"ABS kırıntıları sınıflandırma sonrası yeniden işlenebilir"
